Motif,label
Absurdity and Ironic Tragedy,Emotions
Abuse of Power,Power
Abuse of Trust,Emotions
Acceptance of One’s Role,Awareness
Accepting Loss,Growth
Accountability,Growth
Active vs Passive Faith,Choices
Adaptability,Collaboration
Adaptability and Resilience,Values
Adaptability to Change,Awareness
Adaptation,Growth
Adaptation and Survival,Collaboration
Adaptation of Predators or Adversaries,Power
Adapting to Changing Circumstances,Deception
Adaptive Preferences,Growth
Aesthetic Differences and Perceptions,Collaboration
Aesthetic Preference and Ageism,Values
Aging,Growth
"Aim to Please All, Please None",Deception
Analysis Paralysis,Growth
Anticipation and Fear,Emotions
Appearance vs. Reality,Choices
Appearances are Deceptive,Deception
Appreciating One's Own Abilities,Values
Appreciating Regularity and Consistency,Values
Appreciation of Current State,Awareness
Appreciation of Practical Wisdom,Values
Appropriate Reactions,Growth
Arrogance vs Humility,Choices
Attempted Reconciliation,Growth
Attempts at Reconciliation,Emotions
Audience Expectations,Growth
Authentic Bravery,Growth
Authenticity,Growth
Authenticity Over Pretension,Awareness
Authenticity and Trust,Values
Authenticity vs Imitation,Choices
Avoidance Isn't a Solution,Deception
Avoiding Self-Harm,Values
Awareness of Position,Awareness
Awareness of Threat,Awareness
Balance between Work and Leisure,Awareness
Balancing Consideration and Assertiveness,Values
Be Content,Growth
Beware of Aiding Your Adversary,Deception
Beware of Deceit,Deception
Beware of Flattery,Deception
Beware of Unintended Consequences,Power
Blaming Without Reason,Growth
Boasting and Overconfidence,Power
Bravery vs Cowardice,Choices
Breaking Stereotypes and Prejudices,Values
Causal Chain,Growth
Caution in Altruism,Values
Caution in the Face of Deception,Deception
Change of Perspective,Awareness
Changing Others,Growth
Children and Fear,Emotions
Choosing Sides and Loyalty,Deception
Circumstantial Alliances,Deception
Class Differences,Collaboration
Cleverness and Resourcefulness,Values
Coercion vs. Free Will,Choices
Collective Behavior,Collaboration
Collective Defense,Collaboration
Collective Responsibility and Accountability,Values
Communication,Growth
Communication and Conflict Resolution,Collaboration
Comparative Misfortune,Deception
Comparisons and Envy,Emotions
Compassion Transcends Species,Deception
Complacency,Power
Complicity in Unfair Systems,Awareness
Conflict Resolution,Collaboration
Conformity and Individuality,Values
Conscious and Unconscious Bias,Awareness
Consequence of Misplaced Admiration,Deception
Consequences of Actions over Time,Awareness
Consequences of Comparison,Awareness
Consequences of Complacency,Power
Consequences of Deception,Awareness
Consequences of Gullibility,Awareness
Consequences of Impulsivity,Power
Consequences of Inaction,Power
Consequences of Misjudgment,Power
Consequences of Opportunism,Power
Consequences of Oversight,Awareness
Consequences of Rash Decisions,Awareness
Consider the Consequences,Awareness
Consideration for Others,Growth
Consistency and Trust,Values
Contentment,Growth
Context Matters,Growth
Control of Emotions,Emotions
Cooperation and Interdependence,Power
Cost of Compromise,Awareness
Cost of Deception,Awareness
Cost of Living,Power
Cost of Privilege,Awareness
Counter-Deception,Collaboration
Counterproductive Force,Deception
Courage and Action,Values
Courage and Safety,Values
Courtesy and Etiquette,Deception
Cowardice,Growth
Cowardly Revenge,Deception
Critical Thinking,Collaboration
Critical Thinking and Independence,Values
Criticism and Satire,Collaboration
Criticism is Inevitable,Growth
Cultural Differences,Collaboration
Cultural Misunderstanding,Collaboration
Cunning Often Outwits Itself,Deception
Cunning and Deceit,Emotions
Cycle of Revenge,Emotions
Cycle of Vengeance,Emotions
Danger in Familiarity,Emotions
Danger in Luxury,Emotions
